year,title,inventor_estimates,location_estimates
1939,Francium,['Marguerite Perey'],['French']
1939,Neutron Stars,['Zwicky'],[]
1939,Magnetic Moments,"['Felix Bloch', 'Bloch', 'Edward Mills Purcell', 'Bloch Purcell', 'Vitamin K', 'Car', 'Peter Henrik Dam', 'Vitamin C', 'Edward Adelbert Doisy', 'Dam', 'Doisy']","['Stern', 'Rabi', 'American', 'American Danish', 'German']"
1939,Rh Factor,"['Philip Levine', 'Levine', 'Rhpositive', 'Penicillin Fleming', 'Howard Walter Florey', 'Ernst Boris Chain', 'Chain']","['B', 'Landsteiner', 'British', 'Florey']"
1939,Tyrothricin,"['René Jules Dubos', 'Tyrothricin']","['American', 'Bacillus']"
1939,Essential Minerals,"['Paul Hermann Miiller', 'Miller']","['Paris', 'Swiss']"
1939,Helicopter,"['Ivan Sikorsky', 'Sikorsky']","['Greek', 'American', 'Vietnam', 'Afghanistan']"
1940,Frequency Modulation,"['Radio', 'Marconi']",['Armstrong']
1940,Neptunium and Plutonium,"['Fermi', 'Hahn', 'Meitner', 'Edwin Mattison McMillan', 'Philip Hauge Abelson', 'Neptune', 'Pluto', 'Glenn Theodore Seaborg', 'Neptunium', 'Seaborg']","['American', 'Uranus', 'Uranus American']"
1940,Uranium Hexafluoride,"['Abelson', 'Uranium']",[]
1940,Astatine,[],['Greek']
1940,Betatron,['Donald William Kerst'],['American']
615,Streptomycin,"['Dubos', 'Selman Abraham Waksman', 'Dubos Waksman', 'Streptomycetes', 'Streptomycin', 'Waksman']","['American', 'Actinomycetes', 'Greek']"
1941,Color Television,"['Peter Carl Goldmark', 'Harden', 'Fritz Albert Lipmann']","['American', 'American Meyerhof']"
1941,Polarimetry,"['Jaroslav Heyrovsky', 'Heyrovsky']",['Czechoslovakian']
1941,Cardiac Catheterization,"['Forssmann', 'André Frédéric Cournand', 'Woodruff Richards', 'Richards', 'Cassini', 'Mars', 'Johann Gottfried Galle', 'Mars Eros', 'Eros', 'Eros Harold Spencer Jones', 'Eros Jones']","['American', 'American Cournand', 'Mars', 'German', 'Witt', 'Earth', 'English']"
1941,Jet Planes,"['Goddard', 'Frank Whittle']",['British']
1942,Neurospora,"['Mor', 'George Wells', 'Edward Lawrie Tatum', 'Neurosp', 'Neurospora', 'Muller', 'Beadle', 'Tatum']","['Often', 'American', 'American Beadle', 'Beadle']"
1942,Nuclear Reactor,"['Szilard', 'Fermi', 'Uranium']",['Chicago']
1942,Biotin,[],"['American', 'Vigneaud']"
1943,Bacteriophage Structure,"['Salvador Edward Luria', 'Luria']",['American']
1943,Adrenocorticotrophic Hormone,['Choh Hao Li'],"['American', 'Cortisone']"
